Tweet,Fecha,Locacion,Coordenadas
"@magazo69 Están horribles, el día de ayer cene ahí y sigo sin poder salir del WC #SeTeniaQueDecirYseDijo",Thu Jul 02 07:27:53 +0000 2020,"Cuautitlán Izcalli, México","[[[-99.294897, 19.580497], [-99.294897, 19.732082], [-99.172417, 19.732082], [-99.172417, 19.580497]]]"
"Active WC súper efectivo!
#Stanhome  #Xalapa en Xalapa, Mexico https://t.co/gqEMfiQ1YG",Mon Jul 06 10:26:06 +0000 2020,"Xalapa, Veracruz de Ignacio de la Llave","[[[-96.971524, 19.48425], [-96.971524, 19.599858], [-96.800642, 19.599858], [-96.800642, 19.48425]]]"
"@DonPorfifirio @Mex_Libertario Que compartan  mingitorio, wc y papel",Tue Jul 07 20:39:36 +0000 2020,"Tlalpan, Distrito Federal","[[[-99.315748, 19.087511], [-99.315748, 19.311459], [-99.10098, 19.311459], [-99.10098, 19.087511]]]"
Tengo una duda. ¿Cuántas personas tenemos que orinar la mismo tiempo en un WC para que se baje solo?,Wed Jul 08 04:29:10 +0000 2020,"El Marqués, Querétaro Arteaga","[[[-100.405474, 20.520117], [-100.405474, 20.971164], [-100.151207, 20.971164], [-100.151207, 20.520117]]]"
"Ya les conte cuando un día se me cayo el celular al WC platicando con @SaarahEthel, empecé a buscar arroz en casa d… https://t.co/o00ig7oiKr",Fri Jul 10 16:05:28 +0000 2020,"Puebla, México","[[[-98.289206, 18.83765], [-98.289206, 19.226809], [-98.019327, 19.226809], [-98.019327, 18.83765]]]"
@telediariomty solicité al personal de afuera entrar para usar WC de la clínica 3. Pero como piden sana distancia e… https://t.co/gOuu5gMTNA,Tue Jul 14 20:14:39 +0000 2020,IMSS UMF 3,"[[[-100.296873, 25.683604], [-100.296873, 25.683604], [-100.296873, 25.683604], [-100.296873, 25.683604]]]"
Xq pusimos una paloma (cohete muy kabron) en un WC del baño de las niñas y pues estalló como olla exprés con frijol… https://t.co/ECeoMraXbT,Thu Jul 16 02:15:38 +0000 2020,"Benito Juárez, Quintana Roo","[[[-87.322724, 20.734206], [-87.322724, 21.363232], [-86.740605, 21.363232], [-86.740605, 20.734206]]]"
"Miren, para remodelar un wc muy angosto. Se ve lindo hasta para sentarse y no cagar. https://t.co/qhV5KFKlNf",Sun Jul 19 02:07:29 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
"@LandaElos @Lizgottik @JD_GuerraMunoz Que cochinada , si el teléfono tiene más bichos que un wc y ni uso cubrebocas… https://t.co/yDX8SrYlSf",Tue Jul 21 18:16:41 +0000 2020,"Atizapán de Zaragoza, México","[[[-99.330259, 19.51799], [-99.330259, 19.611185], [-99.208125, 19.611185], [-99.208125, 19.51799]]]"
@CaroCarisima @lopezobrador_  A esto se le llama “tirar” al WC el escasísimo dinero de los Mexicanos. Misma histori… https://t.co/K8aLgHKkZN,Wed Jul 22 21:28:04 +0000 2020,"Bahía de Banderas, Nayarit","[[[-105.610328, 20.667221], [-105.610328, 21.004469], [-104.958731, 21.004469], [-104.958731, 20.667221]]]"
@condessaK La solitaria que escapó del wc después de ser expulsada,Wed Jul 22 21:40:17 +0000 2020,"Benito Juárez, Distrito Federal","[[[-99.191996, 19.357102], [-99.191996, 19.404124], [-99.130965, 19.404124], [-99.130965, 19.357102]]]"
Una foto en el WC no puede faltar hahaha https://t.co/SlQl7t9rdb,Sat Jul 25 03:21:38 +0000 2020,"Guadalajara, Jalisco","[[[-103.408633, 20.600585], [-103.408633, 20.752719], [-103.263131, 20.752719], [-103.263131, 20.600585]]]"
@TaniaSachdev Part of us wanted Ivanchuk to win. He has a terrific spirit and combative. The WC knows that... #chesslegends @chess24com,Sat Jul 25 18:16:52 +0000 2020,"Juárez, Chihuahua","[[[-106.950638, 31.120681], [-106.950638, 31.783867], [-106.185378, 31.783867], [-106.185378, 31.120681]]]"
