Locacion,Retrete
"Huitzilan de Serdán, Puebla",sanitario
"Mochitlán, Guerrero",inodoro
"Ahome, Sinaloa",excusado / escusado / sanitario / retrete
Little Caesars Pizza,sanitario
IMSS Oficinas Centrales,sanitario
"Auditorio ""Luis Guevara"" Médica Sur",sanitario
"Chimalhuacán, México",excusado / sanitario / WC
"Apizaco, Tlaxcala",sanitario
Instituto de Control Vehicular,sanitario
"Atenco, México",sanitario
"Querétaro Arteaga, México",sanitario / retrete
"Purísima del Rincón, Guanajuato",sanitario
"Carmen, Campeche",escusado / sanitario / retrete / WC
"Tetepango, Hidalgo",WC
"Tijuana, Baja California",inodoro / excusado / escusado / sanitario / retrete / WC
"Totolapan, Morelos",sanitario
Central de Abastos Irapuato,sanitario
"Centro De Salud ""La Esmeralda""",sanitario
"Zacatecas, México",inodoro / sanitario / retrete / WC
"Mineral del Monte, Hidalgo",sanitario
"Villa de Zaachila, Oaxaca",sanitario
"Huatusco, Veracruz de Ignacio de la Llave",sanitario
MultiPlaza Cancún,WC
Valle De Las Palmas,sanitario
"Huimanguillo, Tabasco",sanitario
"Naucalpan de Juárez, México",inodoro / escusado / sanitario / retrete / WC
Estadio 20 Noviembre,sanitario
"Nacajuca, Tabasco",excusado / sanitario
"Pueblo Viejo, Veracruz de Ignacio de la Llave",inodoro
"Tlaxcala, México",sanitario / retrete
"Mainero, Tamaulipas",escusado
Sam's Club,sanitario
"Versalles Sur, Tepic",sanitario
"Morelos, México",sanitario
"Santa Lucía del Camino, Oaxaca",sanitario
"Juchitepec, México",sanitario
"Tamaulipas, México",sanitario
"San Andrés Zautla, Oaxaca",inodoro
"Coronango, Puebla",sanitario
"San Pablo Huitzo, Oaxaca",sanitario
"Tepeji del Río de Ocampo, Hidalgo",escusado / sanitario
Tribunal Superior De Justicia Del EDOMEX,sanitario
"Amecameca, México",inodoro
"Iztapalapa, Distrito Federal",inodoro / excusado / escusado / sanitario / retrete / WC
Biblioteca Vasconcelos,sanitario
"Chalco, México",sanitario
"Ixhuatán, Chiapas",sanitario
"Veracruz, Veracruz de Ignacio de la Llave",inodoro / excusado / escusado / sanitario / retrete / WC
"Jojutla, Morelos",inodoro / retrete
Módulo INE Banjidal,sanitario
"Ocoyoacac, México",sanitario / WC
Santuario de la Mariposa Monarca Piedra Herrada,sanitario
"Zinacatepec, Puebla",sanitario
"La Paz, Baja California Sur",inodoro / sanitario / retrete / WC
"Isla Mujeres, Quintana Roo",inodoro / escusado / sanitario / retrete / WC
"Teziutlán, Puebla",sanitario / retrete
"Zumpango, México",excusado / sanitario / WC
Playa Bonfil,sanitario
Mercado Municipal Mariano Escobedo,sanitario
"Aculco, México",sanitario
Explanada Teleférico Torreón,sanitario
"Acapulco de Juárez, Guerrero",inodoro / excusado / escusado / sanitario / retrete / WC
"Santa Cruz Xoxocotlán, Oaxaca",excusado / sanitario / WC
Bosque de San Juan de Aragón,sanitario
Xtremo Parque,sanitario
"San Juan Guichicovi, Oaxaca",sanitario
"Tihuatlán, Veracruz de Ignacio de la Llave",sanitario
"San Mateo Atenco, México",sanitario
"Kanasín, Yucatán",sanitario / WC
"San Agustín Tlaxiaca, Hidalgo",sanitario
"Pungarabato, Guerrero",sanitario
Instituto Nacional de Ciencias Médicas y Nutrición Salvador Zubirán,sanitario
"Río Blanco, Veracruz de Ignacio de la Llave",sanitario
"San Rafael, Veracruz de Ignacio de la Llave",sanitario
"Tenancingo, México",excusado
"Villagrán, Guanajuato",excusado
Monumento a la Revolución Mexicana,sanitario
"Tlaxcoapan, Hidalgo",sanitario
Playa Marlin,sanitario
Panteon Mompani,sanitario
